"Seconds","X_Data","Y Data"
"0.0009589195251464844","325","296"
"1.6775705814361572","285","280"
"1.707489013671875","284","281"
"1.7442362308502197","254","255"
"1.79437255859375","267","263"
"1.8461215496063232","239","240"
"1.896087408065796","251","247"
"1.960890531539917","225","225"
"1.998483419418335","241","237"
"2.0634520053863525","215","216"
"2.096963405609131","219","217"
"2.1512842178344727","210","209"
"2.2001514434814453","205","204"
"2.255009174346924","209","207"
"2.3028781414031982","195","195"
"2.351351737976074","212","203"
"2.4062018394470215","186","192"
"2.456064224243164","204","201"
"2.5099220275878906","181","182"
"2.5568020343780518","202","198"
"2.606003761291504","179","179"
"2.6583070755004883","203","199"
"2.7068371772766113","184","184"
"2.76106333732605","202","201"
"2.8103160858154297","187","188"
"2.8641722202301025","192","191"
"2.916036605834961","189","188"
"2.962907314300537","185","184"
"3.010650873184204","196","193"
"3.0631699562072754","183","183"
"3.1112868785858154","208","198"
"3.1658823490142822","184","184"
"3.215810775756836","205","201"
"3.2637133598327637","182","183"
"3.3182029724121094","199","196"
"3.368068218231201","179","180"
"3.4229207038879395","199","195"
"3.468832492828369","189","188"
"3.5169665813446045","198","202"
"3.5716137886047363","191","191"
"3.632352352142334","187","185"
"3.661616563796997","193","191"
"3.7165982723236084","186","186"
"3.7631003856658936","203","200"
"3.8352627754211426","184","184"
"3.887169361114502","205","201"
"3.93005633354187","178","179"
"3.9769294261932373","201","197"
"4.028790473937988","184","184"
"4.088047981262207","203","200"
"4.132878541946411","182","182"
"4.182974576950073","194","191"
"4.235622406005859","192","185"
"4.28596043586731","195","196"
"4.338710308074951","196","194"
"4.387941122055054","189","188"
"4.433260440826416","198","196"
"4.4849326610565186","179","179"
"4.539553880691528","198","195"
"4.587425947189331","180","180"
"4.641281843185425","206","204"
"4.688156366348267","181","182"
"4.739655017852783","204","201"
"4.789044618606567","185","186"
"4.838853120803833","202","198"
"4.8910486698150635","187","187"
"4.941974878311157","195","192"
"4.99395227432251","194","188"
"5.04481315612793","186","186"
"5.094788074493408","192","190"
"5.1436333656311035","182","182"
"5.193734407424927","196","193"
"5.248941659927368","177","177"
"5.2958083152771","198","194"
"5.3506550788879395","178","176"
"5.402576684951782","200","202"
"5.4486777782440186","179","181"
"5.499644041061401","200","196"
"5.552449941635132","183","183"
"5.599879503250122","195","191"
"5.651741027832031","184","184"
"5.701458215713501","188","187"
"5.752012729644775","195","193"
"5.805184602737427","184","184"
"5.853217840194702","192","190"
"5.907116413116455","179","179"
"5.95606541633606","195","192"
"6.006690502166748","176","176"
"6.060352563858032","196","192"
"6.1106977462768555","181","175"
"6.157230854034424","195","196"
"6.215065956115723","176","176"
"6.26698899269104","193","190"
"6.314849376678467","179","179"
"6.364715099334717","189","187"
"6.4102466106414795","183","182"
"6.465616226196289","184","183"
"6.514168739318848","191","192"
"6.5656609535217285","179","180"
"6.633480548858643","191","189"
"6.665393590927124","176","176"
"6.718332529067993","194","191"
"6.765962600708008","175","175"
"6.819983005523682","195","192"
"6.868261337280273","181","176"
"6.914201498031616","194","191"
"6.965285301208496","176","177"
"7.015245676040649","191","188"
"7.065278768539429","180","180"
"7.117061614990234","187","185"
"7.166827917098999","185","184"
"7.239633083343506","183","182"
"7.2765350341796875","189","193"
"7.320419073104858","178","179"
"7.371700048446655","193","190"
"7.424576997756958","176","176"
"7.476439952850342","198","194"
"7.530298471450806","179","179"
"7.573183059692383","200","196"
"7.625800848007202","184","184"
"7.677044630050659","194","191"
"7.727482557296753","180","180"
"7.782931804656982","195","192"
"7.82939887046814","187","186"
"7.885254144668579","189","187"
"7.932123899459839","189","188"
"7.9809935092926025","189","182"
"8.034060716629028","192","193"
"8.0816969871521","182","182"
"8.1347017288208","199","196"
"8.182930707931519","180","180"
"8.25283408164978","201","197"
"8.294166803359985","177","178"
"8.341044664382935","196","193"
"8.39290165901184","181","184"
"8.442769050598145","196","193"
"8.491593599319458","185","185"
"8.547199726104736","195","192"
"8.59432077407837","190","189"
"8.646693468093872","187","186"
"8.696759462356567","190","188"
"8.745927095413208","189","184"
"8.799104452133179","198","196"
"8.848557710647583","184","184"
"8.903661489486694","203","199"
"8.952516555786133","182","182"
"9.005401611328125","199","195"
"9.05526852607727","178","178"
"9.102214336395264","201","194"
"9.151474952697754","184","190"
"9.205902099609375","200","197"
"9.252090215682983","188","188"
"9.307319402694702","194","192"
"9.357006072998047","190","188"
"9.405715942382812","185","183"
"9.458744525909424","192","190"
"9.50864315032959","189","187"
"9.55851125717163","199","197"
"9.627826929092407","182","182"
"9.660747528076172","203","200"
"9.715100765228271","182","182"
"9.764968156814575","202","198"
"9.809608459472656","181","181"
"9.864835977554321","206","195"
"9.914874792098999","184","187"
"9.966673851013184","196","193"
"10.015486717224121","187","186"
"10.066842079162598","191","189"
"10.126433849334717","192","190"
"10.166820764541626","187","185"
"10.219409465789795","196","193"
"10.26742172241211","187","189"
"10.31765604019165","199","197"
"10.370278120040894","178","178"
"10.419345617294312","198","194"
"10.473200559616089","177","177"
"10.523066520690918","197","193"
"10.573930740356445","177","178"
"10.625791788101196","200","192"
"10.674050092697144","179","180"
"10.722041368484497","190","188"
"10.77558708190918","184","183"
"10.825154066085815","186","184"
"10.880421161651611","188","187"
"10.92700982093811","182","181"
"10.9771568775177","194","189"
"11.03021502494812","178","183"
"11.079081773757935","195","192"
"11.129154682159424","176","176"
"11.182948112487793","196","192"
"11.230473518371582","176","176"
"11.28739595413208","195","192"
"11.334265232086182","176","177"
"11.387073993682861","199","195"
"11.441975593566895","180","180"
"11.488802433013916","189","187"
"11.53907036781311","184","183"
"11.589271545410156","185","183"
"11.637327194213867","188","187"
"11.69242811203003","181","180"
"11.74218201637268","198","189"
"11.791706323623657","178","181"
"11.840536832809448","197","193"
"11.890552282333374","176","177"
"11.938497066497803","196","193"
"11.988052129745483","176","177"
"12.03836464881897","197","193"
"12.090986490249634","179","180"
"12.161429405212402","197","199"
"12.195613622665405","185","185"
"12.243154525756836","188","186"
"12.305593729019165","187","186"
"12.346642255783081","187","186"
"12.396018266677856","196","194"
"12.449876308441162","188","187"
"12.498776197433472","207","199"
"12.550172805786133","182","183"
"12.606870174407959","198","195"
"12.653465270996094","177","177"
"12.711738586425781","198","194"
"12.762611627578735","180","180"
"12.81048059463501","201","197"
"12.857421875","184","182"
"12.90782642364502","198","201"
"12.956206321716309","187","187"
"13.0102059841156","189","187"
"13.06017541885376","188","186"
"13.115961790084839","184","183"
"13.167829036712646","191","190"
"13.211705684661865","180","180"
"13.26256775856018","203","199"
"13.313437461853027","179","180"
"13.368676662445068","200","196"
"13.41593599319458","179","180"
"13.463929176330566","200","196"
"13.518110990524292","180","181"
"13.573446989059448","199","195"
"13.624309539794922","189","182"
"13.675174236297607","196","197"
"13.725042581558228","188","187"
"13.775107622146606","192","190"
"13.822940826416016","192","191"
"13.879184007644653","188","186"
"13.936224460601807","194","191"
"13.985114574432373","181","180"
"14.03602385520935","200","199"
"14.081025123596191","177","178"
"14.122949123382568","197","193"
"14.17979621887207","177","177"
"14.228665351867676","196","193"
"14.294496297836304","177","178"
"14.33638072013855","195","191"
"14.384615898132324","186","179"
"14.433604955673218","191","188"
"14.480793714523315","184","183"
"14.529269456863403","186","185"
"14.583330392837524","188","186"
"14.640751600265503","182","181"
"14.689144372940063","192","189"
"14.738571643829346","179","179"
"14.782929182052612","195","198"
"14.839414358139038","176","177"
"14.890278339385986","196","192"
"14.94214153289795","176","177"
"14.989047527313232","195","192"
"15.040162324905396","176","177"
"15.091716051101685","195","191"
"15.13993239402771","189","188"
"15.19383192062378","195","193"
"15.243778467178345","190","189"
"15.289914608001709","192","190"
"15.355289459228516","194","193"
"15.38919734954834","186","185"
"15.437570571899414","194","192"
"15.490336418151855","185","178"
"15.539623260498047","198","200"
"15.595475673675537","180","181"
"15.643346071243286","202","198"
"15.697885036468506","184","185"
"15.751348495483398","203","199"
"15.797820329666138","180","180"
"15.851955890655518","196","192"
"15.903671503067017","190","189"
"15.959520101547241","193","191"
"16.01337957382202","188","187"
"16.065239429473877","191","189"
"16.11012101173401","192","190"
"16.163976192474365","182","181"
"16.212852478027344","195","192"
"16.257425785064697","187","180"
"16.310425996780396","200","196"
"16.36162543296814","183","183"
"16.40973734855652","203","199"
"16.46477723121643","181","182"
"16.514644384384155","198","195"
"16.564534664154053","177","178"
"16.611382961273193","195","191"
"16.662375450134277","185","191"
"16.71252202987671","191","190"
"16.765565872192383","189","188"
"16.8148136138916","190","189"
"16.865504026412964","194","192"
"16.91748309135437","182","181"
"16.96626329421997","194","192"
"17.016263246536255","183","183"
"17.07025718688965","196","193"
"17.118905067443848","175","176"
"17.17176079750061","196","192"
"17.22101926803589","175","176"
"17.272018671035767","195","192"
"17.321074724197388","177","178"
"17.37110471725464","199","189"
"17.428640127182007","181","186"
"17.476558685302734","187","186"
"17.525396585464478","185","184"
"17.580238103866577","183","182"
"17.62793278694153","189","187"
"17.693804264068604","179","178"
"17.7346932888031","193","190"
"17.78256845474243","181","181"
"17.831435203552246","195","192"
"17.88329577445984","174","175"
"17.930182456970215","196","192"
"17.98720145225525","175","176"
"18.033079147338867","195","191"
"18.08530616760254","177","178"
"18.135833024978638","197","188"
"18.18464207649231","181","181"
"18.23692536354065","187","185"
"18.29178524017334","186","184"
"18.337162256240845","183","182"
"18.39095640182495","190","188"
"18.436768531799316","179","179"
"18.484853744506836","196","190"
"18.53473997116089","176","182"
"18.583693265914917","195","193"
"18.65557098388672","175","176"
"18.694464921951294","196","192"
"18.74034547805786","176","176"
"18.793200731277466","195","192"
"18.838079929351807","178","178"
"18.891310930252075","197","194"
"18.941862106323242","181","181"
"18.99702763557434","187","185"
"19.043460607528687","186","185"
"19.09367084503174","183","182"
"19.145735263824463","190","188"
"19.218895196914673","179","179"
"19.26550030708313","200","190"
"19.299405574798584","176","180"
"19.346280097961426","196","192"
"19.399187564849854","175","176"
"19.451356649398804","196","192"
"19.499504566192627","176","176"
"19.548794507980347","195","191"
"19.599040985107422","178","178"
"19.652971029281616","195","194"
"19.71787667274475","181","182"
"19.75087308883667","187","185"
"19.81660223007202","186","185"
"19.86659860610962","183","182"
"19.90777611732483","190","188"
"19.95536208152771","179","179"
"0.0","491","508"
"0.036380767822265625","483","508"
"0.07223820686340332","493","508"
"0.11113452911376953","483","508"
"0.14803123474121094","496","508"
"0.18597841262817383","485","508"
"0.22288012504577637","489","508"
"0.26073408126831055","484","508"
"0.2956357002258301","490","508"
"0.33258533477783203","487","508"
"0.37143516540527344","488","508"
"0.4113292694091797","493","508"
"0.4472317695617676","488","507"
"0.4861273765563965","490","508"
"0.5250225067138672","492","508"
"0.5609643459320068","482","508"
"0.5968658924102783","491","508"
"0.6337683200836182","483","508"
"0.6716315746307373","493","508"
"0.7105264663696289","483","508"
"0.7464649677276611","496","508"
"0.7833743095397949","485","508"
"0.8188552856445312","489","508"
"0.8557028770446777","484","508"
"0.8926422595977783","490","508"
"0.9305019378662109","487","508"
"0.9693984985351562","488","508"
"1.0058202743530273","493","508"
"1.0447142124176025","323","508"
"1.6770052909851074","430","507"
"1.712873935699463","469","508"
"1.7477819919586182","477","508"
"1.801037311553955","488","508"
"1.852174997329712","484","508"
"1.9080266952514648","489","508"
"1.9539036750793457","490","507"
"2.0017781257629395","165","0"
"2.052764415740967","66","0"
"2.1018402576446533","37","0"
"2.1567039489746094","364","507"
"2.2098848819732666","442","508"
"2.256089925765991","816","1023"
"2.3081214427948","926","1023"
"2.3466248512268066","973","1023"
"2.400543689727783","984","1023"
"2.448373317718506","433","168"
"2.4970669746398926","152","0"
"2.5460925102233887","68","0"
"2.5966694355010986","35","0"
"2.6457202434539795","30","0"
"2.697664737701416","222","305"
"2.7681257724761963","405","507"
"2.803032159805298","459","508"
"2.8549370765686035","476","507"
"2.9017698764801025","485","508"
"2.9523794651031494","487","507"
"3.0050008296966553","493","507"
"3.0537593364715576","483","507"
"3.123154878616333","489","507"
"3.157726764678955","396","371"
"3.2053558826446533","139","0"
"3.2571136951446533","57","0"
"3.327791690826416","38","0"
"3.3614039421081543","360","508"
"3.4118378162384033","787","1023"
"3.4769389629364014","914","1023"
"3.5145177841186523","965","1023"
"3.56239914894104","648","508"
"3.6293554306030273","221","0"
"3.6611130237579346","95","0"
"3.725249767303467","376","508"
"3.767206907272339","452","508"
"3.821065902709961","471","508"
"3.866941452026367","160","0"
"3.9138150215148926","63","0"
"3.964937686920166","41","0"
"4.032587289810181","385","549"
"4.070472240447998","585","704"
"4.123332500457764","512","508"
"4.176187038421631","388","340"
"4.22206449508667","460","508"
"4.269845008850098","478","508"
"4.351752519607544","488","508"
"4.391611814498901","487","508"
"4.427686929702759","487","508"
"4.495131254196167","159","0"
"4.527045965194702","71","0"
"4.576910972595215","35","0"
"4.625781297683716","115","131"
"4.6780781745910645","176","209"
"4.729674816131592","286","340"
"4.77815318107605","421","508"
"4.83170485496521","467","508"
"4.880291938781738","478","508"
"4.954787254333496","486","508"
"4.986700534820557","489","508"
"5.033584833145142","490","508"
"5.081446886062622","490","508"
"5.136300563812256","483","508"
"5.186289072036743","490","508"
"5.237711191177368","483","508"
"5.302655220031738","493","508"
"5.335635185241699","483","508"
"5.420223712921143","496","508"
"5.452646493911743","484","508"
"5.4938132762908936","490","508"
"5.541873455047607","483","508"
"5.596090793609619","491","508"
"5.679565906524658","486","508"
"5.725393056869507","489","508"
"5.766370058059692","491","508"
"5.8162360191345215","490","508"
"5.861205339431763","488","508"
"5.915962219238281","483","508"
"5.964831352233887","491","508"
"6.014813184738159","483","508"
"6.0678369998931885","493","508"
"6.11594033241272","483","508"
"6.168868541717529","496","508"
"6.215970754623413","485","508"
"6.26216197013855","489","508"
"6.317144870758057","484","508"
"6.366095542907715","490","508"
"6.418955564498901","487","508"
"6.469078779220581","488","508"
"6.5169501304626465","492","508"
"6.570314407348633","488","508"
"6.618452548980713","488","508"
"6.6685285568237305","483","508"
"6.72066330909729","492","508"
"6.76080846786499","484","508"
"6.820044994354248","493","508"
"6.86803936958313","487","508"
"6.914047718048096","496","508"
"6.974904775619507","486","508"
"7.0259788036346436","489","508"
"7.078082084655762","485","508"
"7.126271486282349","489","508"
"7.176229238510132","488","508"
"7.231084108352661","487","508"
"7.278957366943359","493","508"
"7.334808349609375","487","508"
"7.382677793502808","489","508"
"7.430225372314453","483","507"
"7.484130620956421","274","180"
"7.523376226425171","95","0"
"7.581158399581909","51","0"
"7.631026744842529","29","0"
"7.679091215133667","230","309"
"7.739465236663818","404","507"
"7.787387132644653","801","1023"
"7.835385799407959","919","1023"
"7.877607345581055","967","1023"
"7.946404218673706","989","1023"
"7.983786344528198","992","1023"
"8.028507947921753","662","508"
"8.078694105148315","221","0"
"8.128622770309448","91","0"
"8.178029537200928","41","0"
"8.228943109512329","34","0"
"8.27577018737793","24","0"
"8.326515674591064","362","508"
"8.384759426116943","710","918"
"8.4326331615448","896","1023"
"8.485489845275879","956","1023"
"8.535269021987915","983","1023"
"8.602465629577637","658","508"
"8.63352108001709","552","507"
"8.686128377914429","513","507"
"8.738012790679932","493","508"
"8.79184365272522","493","508"
"8.83971357345581","486","508"
"8.889188051223755","492","507"
"8.94322681427002","486","507"
"8.992185354232788","495","508"
"9.044378280639648","489","507"
"9.112983465194702","493","507"
"9.142903566360474","483","508"
"9.197758913040161","489","507"
"9.244637966156006","487","508"
"9.298303127288818","489","508"
"9.344769954681396","489","507"
"9.421175241470337","491","507"
"9.454522609710693","494","510"
"9.508785247802734","521","562"
"9.552380323410034","552","582"
"9.609235048294067","555","583"
"9.660605669021606","514","508"
"9.712467193603516","494","507"
"9.760339975357056","498","507"
"9.800284147262573","830","1023"
"9.858331680297852","936","1023"
"9.907211542129517","971","1023"
"9.957720756530762","985","1023"
"10.006823062896729","596","413"
"10.058084726333618","207","0"
"10.107124328613281","85","0"
"10.155046224594116","524","741"
"10.208887577056885","838","1023"
"10.259882926940918","589","507"
"10.310740947723389","528","507"
"10.361719131469727","499","507"
"10.414005279541016","838","1023"
"10.463831901550293","931","1023"
"10.513624429702759","978","1023"
"10.562252044677734","875","847"
"10.616440773010254","622","507"
"10.665457963943481","749","836"
"10.734594821929932","911","1023"
"10.768075466156006","964","1023"
"10.816143274307251","983","1023"
"10.893611431121826","997","1023"
"10.92349362373352","996","1023"
"10.976352214813232","1001","1023"
"11.025225400924683","995","1023"
"11.07309627532959","1000","1023"
"11.126686811447144","994","1023"
"11.176600217819214","997","1023"
"11.225561141967773","994","1023"
"11.275475978851318","998","1023"
"11.325716972351074","996","1023"
"11.40419626235962","984","996"
"11.431678056716919","786","702"
"11.47696852684021","717","699"
"11.56148076057434","769","811"
"11.588407039642334","779","817"
"11.631909132003784","816","855"
"11.680217266082764","822","856"
"11.73354983329773","843","871"
"11.783428430557251","849","877"
"11.83328127861023","945","1015"
"11.888137340545654","974","1023"
"11.934460401535034","992","1023"
"11.989015102386475","990","1023"
"12.057297468185425","981","999"
"12.08821177482605","974","996"
"12.136898517608643","967","984"
"12.225200653076172","949","958"
"12.254173040390015","886","877"
"12.296433210372925","866","871"
"12.34647250175476","820","826"
"12.396339654922485","812","826"
"12.455344915390015","881","948"
"12.505940914154053","956","1017"
"12.559560298919678","980","1023"
"12.610045909881592","995","1023"
"12.666290044784546","946","947"
"12.70618462562561","707","598"
"12.75705075263977","592","552"
"12.815889358520508","568","573"
"12.865996599197388","802","938"
"12.915081024169922","924","1023"
"12.968274116516113","975","1023"
"13.017396688461304","985","1023"
"13.067915439605713","874","828"
"13.11462116241455","694","626"
"13.166453838348389","702","720"
"13.217615604400635","895","1023"
"13.267370223999023","962","1023"
"13.321107149124146","980","1023"
"13.370397567749023","996","1023"
"13.424283742904663","661","507"
"13.472168445587158","554","507"
"13.521624326705933","690","779"
"13.57137680053711","888","1023"
"13.626011848449707","957","1023"
"13.676875352859497","946","971"
"13.732725858688354","647","507"
"13.775652885437012","544","507"
"13.824060440063477","517","507"
"13.878201723098755","836","1023"
"13.926668643951416","939","1023"
"13.981379508972168","971","1023"
"14.034247398376465","790","714"
"14.083107948303223","589","507"
"14.130979776382446","528","507"
"14.180948972702026","503","507"
"14.23694920539856","838","1023"
"14.285331726074219","937","1023"
"14.338653564453125","972","1023"
"14.389466524124146","990","1023"
"14.438339948654175","988","1023"
"14.489061832427979","706","572"
"14.537935018539429","562","507"
"14.589312553405762","583","602"
"14.638264179229736","860","1023"
"14.688540697097778","951","1023"
"14.74218225479126","976","1023"
"14.791028022766113","865","827"
"14.841768741607666","647","560"
"14.892632961273193","648","659"
"14.947545051574707","883","1023"
"14.996354103088379","952","1023"
"15.046221017837524","985","1023"
"15.097259044647217","653","507"
"15.148077487945557","554","507"
"15.195476770401001","623","684"
"15.24498963356018","877","1023"
"15.297823905944824","947","1023"
"15.34799861907959","973","1009"
"15.40257716178894","815","759"
"15.456798315048218","799","798"
"15.500681400299072","830","872"
"15.555533170700073","883","934"
"15.607394456863403","819","811"
"15.655319929122925","690","649"
"15.709339141845703","642","633"
"15.75417160987854","811","920"
"15.806997537612915","933","1023"
"15.855967283248901","972","1023"
"15.908506155014038","992","1023"
"15.9580659866333","962","976"
"16.007393836975098","922","918"
"16.089046716690063","899","918"
"16.12698531150818","968","1023"
"16.162842273712158","983","1023"
"16.21171522140503","994","1023"
"16.267575979232788","998","1023"
"16.319435119628906","934","922"
"16.363481283187866","865","847"
"16.417293548583984","840","848"
"16.466113567352295","838","860"
"16.515033721923828","940","1023"
"16.570833683013916","979","1023"
"16.62042808532715","986","1023"
"16.670736074447632","1000","1023"
"16.720881462097168","994","1023"
"16.77304720878601","936","921"
"16.82426691055298","836","807"
"16.872138261795044","798","797"
"16.92007875442505","857","918"
"16.97302222251892","947","1020"
"17.023838758468628","978","1023"
"17.076249837875366","992","1023"
"17.131105661392212","997","1023"
"17.179506540298462","995","1023"
"17.224136114120483","992","1011"
"17.27103304862976","860","819"
"17.340969800949097","801","785"
"17.37522554397583","901","982"
"17.42435097694397","966","1023"
"17.479280710220337","985","1023"
"17.526730060577393","997","1023"
"17.579530000686646","994","1023"
"17.628493070602417","998","1023"
"17.68183970451355","984","1004"
"17.73171639442444","970","992"
"17.77620530128479","988","1023"
"17.853922128677368","992","1023"
"17.884837865829468","998","1023"
"17.932672262191772","997","1023"
"17.98453664779663","1003","1023"
"18.04237985610962","995","1023"
"18.088366270065308","1001","1023"
"18.139010429382324","995","1023"
"18.190324306488037","1000","1023"
"18.24176573753357","993","1023"
"18.287906408309937","932","916"
"18.357821941375732","770","705"
"18.389787197113037","592","516"
"18.461930990219116","531","507"
"18.50286364555359","503","507"
"18.555513620376587","493","507"
"18.594455003738403","485","507"
"18.67447519302368","705","829"
"18.703399419784546","891","1023"
"18.744184255599976","961","1023"
"18.793571949005127","982","1023"
"18.847057819366455","976","993"
"18.89492702484131","976","1005"
"18.95038890838623","993","1023"
"19.00101137161255","993","1023"
"19.05189275741577","995","1023"
"19.1057186126709","850","792"
"19.15071702003479","611","507"
"19.198784351348877","536","507"
"19.25149703025818","504","503"
"19.30262327194214","324","241"
"19.357475757598877","108","0"
