"Seconds","X_Data","Y Data"
"0.0009970664978027344","0","507"
"1.6391997337341309","116","507"
"1.692699670791626","513","507"
"1.7405712604522705","513","507"
"1.7885534763336182","513","508"
"1.842371940612793","513","508"
"1.8926949501037598","513","507"
"1.9423491954803467","369","508"
"1.9956068992614746","0","507"
"2.0430524349212646","0","299"
"2.0933878421783447","0","0"
"2.1405255794525146","0","0"
"2.1903929710388184","513","0"
"2.244835615158081","513","0"
"2.2962796688079834","513","507"
"2.3506412506103516","513","508"
"2.4025042057037354","513","508"
"2.4588658809661865","513","508"
"2.505739450454712","0","508"
"2.548624277114868","0","508"
"2.599980354309082","0","507"
"2.6481263637542725","0","508"
"2.7059688568115234","53","508"
"2.7538437843322754","266","508"
"2.8076982498168945","282","555"
"2.857569456100464","10","705"
"2.8924734592437744","38","566"
"2.9593565464019775","513","508"
"3.0092270374298096","513","508"
"3.061819553375244","144","522"
"3.1097018718719482","19","702"
"3.162874460220337","21","513"
"3.211747169494629","53","508"
"3.2561380863189697","0","689"
"3.305004119873047","0","977"
"3.3464174270629883","0","714"
"3.3988401889801025","167","507"
"3.4482431411743164","191","508"
"3.499237298965454","0","744"
"3.547224760055542","0","960"
"3.5970921516418457","0","776"
"3.647465467453003","0","507"
"3.6973326206207275","0","528"
"3.7467236518859863","0","952"
"3.798570394515991","0","958"
"3.84950590133667","0","511"
"3.906566858291626","0","507"
"3.9633731842041016","0","668"
"4.012239456176758","0","805"
"4.0690906047821045","0","611"
"4.113972425460815","56","507"
"4.168835401535034","59","510"
"4.217691898345947","0","990"
"4.265562534332275","0","1023"
"4.312437295913696","0","625"
"4.361306428909302","195","507"
"4.414167642593384","513","507"
"4.465157747268677","513","508"
"4.511035442352295","513","507"
"4.56346321105957","513","507"
"4.612231731414795","513","507"
"4.664923191070557","513","508"
"4.715020179748535","513","508"
"4.7618958950042725","513","508"
"4.818697452545166","513","508"
"4.865569353103638","513","508"
"4.921422719955444","513","508"
"4.96830415725708","513","508"
"5.018398284912109","513","508"
"5.09696626663208","513","507"
"5.124887466430664","69","1006"
"5.172515869140625","0","1023"
"5.224257230758667","0","1023"
"5.27130913734436","514","507"
"5.342331171035767","472","508"
"5.373276948928833","0","1022"
"5.424128770828247","513","507"
"5.477289199829102","514","507"
"5.529264688491821","0","1022"
"5.577089786529541","514","345"
"5.628955602645874","873","0"
"5.680660724639893","513","508"
"5.728979587554932","513","508"
"5.778977394104004","513","507"
"5.848555326461792","513","507"
"5.881352663040161","513","198"
"5.929819583892822","513","508"
"5.983371257781982","513","507"
"6.034910678863525","1015","0"
"6.0815253257751465","513","801"
"6.135228633880615","513","507"
"6.184610605239868","513","508"
"6.237460136413574","219","1023"
"6.285693168640137","578","241"
